年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高三,86,62,81,74,78,79,76,78.0,丙
高三,64,80,89,93,55,93,55,80.0,丙
高一,65,52,50,66,87,89,70,66.0,丙
高二,91,77,53,100,67,82,83,82.0,丙
高三,79,73,73,50,75,65,67,73.0,丙
高二,83,85,51,85,68,100,60,83.0,丙
高一,75,95,85,97,65,70,57,75.0,丙
高二,70,57,64,67,84,75,57,67.0,丙
高一,60,57,92,65,54,72,79,65.0,丙
高一,55,89,55,51,77,57,97,57.0,丁
高三,78,75,68,80,81,90,83,80.0,丙
高二,89,64,80,71,52,55,77,71.0,丙
高一,53,75,53,100,50,87,56,56.0,丁
高一,76,88,90,54,83,82,61,82.0,丙
高二,84,69,64,51,88,68,70,69.0,丙
高三,55,77,60,52,59,64,59,59.0,丁
高三,65,70,57,84,81,81,97,81.0,丙
高二,82,93,75,73,83,60,70,75.0,丙
高二,52,75,65,66,87,90,76,75.0,丙
高三,58,99,71,58,50,69,55,58.0,丁
高一,92,97,68,50,91,82,65,82.0,丙
高三,88,87,92,84,57,82,76,84.0,丙
高三,57,68,57,86,81,94,86,81.0,丙
高三,73,60,51,98,52,69,77,69.0,丙
高二,56,93,51,61,57,79,56,57.0,丁
高三,80,67,86,72,80,62,98,80.0,丙
高二,90,83,72,71,99,56,95,83.0,丙
高一,60,61,71,100,88,54,71,71.0,丙
高一,72,61,70,78,50,73,83,72.0,丙
高三,100,69,100,87,56,51,62,69.0,丙
高二,73,87,96,89,81,54,69,81.0,丙
高三,77,52,89,60,69,98,85,77.0,丙
高二,78,70,70,58,72,62,58,70.0,丙
高一,77,98,83,93,74,86,98,86.0,乙
高二,59,63,99,62,58,84,100,63.0,丙
高一,56,93,75,52,85,79,57,75.0,丙
高三,52,86,98,87,92,95,91,91.0,甲
高二,70,54,96,98,78,83,86,83.0,丙
高三,82,80,55,54,88,52,76,76.0,丙
高三,54,72,73,73,74,70,55,72.0,丙
高二,81,94,100,85,61,73,64,81.0,丙
高二,52,77,93,91,60,77,60,77.0,丙
高一,63,69,80,79,90,73,99,79.0,丙
高一,71,89,54,68,75,89,79,75.0,丙
高三,97,52,85,56,79,55,57,57.0,丁
高一,50,96,50,55,68,86,100,68.0,丙
高一,53,91,94,80,51,70,64,70.0,丙
高一,89,70,58,97,62,87,85,85.0,乙
高三,66,54,53,71,52,83,100,66.0,丙
高二,80,95,58,91,81,96,59,81.0,丙
高三,84,67,59,62,51,60,69,62.0,丙
高三,85,64,84,85,63,65,90,84.0,丙
高一,98,97,59,73,70,63,69,70.0,丙
高二,67,63,73,89,54,69,69,69.0,丙
高一,52,87,73,78,58,54,64,64.0,丙
高二,76,65,57,85,50,61,54,61.0,丙
高一,89,86,84,96,93,67,93,89.0,乙
高一,78,53,84,83,79,55,94,79.0,丙
高三,70,72,95,58,61,73,75,72.0,丙
高二,69,79,74,65,58,83,82,74.0,丙
高三,80,89,96,62,88,99,93,89.0,乙
高三,99,100,56,81,82,85,63,82.0,丙
高一,64,96,57,54,94,71,74,71.0,丙
高二,78,79,98,74,63,75,99,78.0,丙
高一,53,85,95,78,80,93,97,85.0,乙
高三,67,69,56,70,65,69,67,67.0,丙
高二,65,89,59,85,96,77,77,77.0,丙
高三,63,91,64,71,81,85,82,81.0,丙
高一,69,58,69,75,83,58,72,69.0,丙
高三,98,58,80,52,64,83,84,80.0,丙
高二,84,95,72,61,62,79,99,79.0,丙
高二,87,99,65,85,55,81,93,85.0,乙
高三,67,53,99,58,73,73,95,73.0,丙
高二,57,92,50,61,91,62,78,62.0,丙
高三,53,99,62,99,98,76,53,76.0,丙
高一,94,78,93,79,62,67,65,78.0,丙
高二,71,84,80,95,93,57,82,82.0,丙
高二,97,51,100,54,91,50,75,75.0,丙
高二,81,97,97,93,64,82,63,82.0,丙
高一,75,100,74,64,92,64,87,75.0,丙
高一,60,73,84,70,84,67,93,73.0,丙
高二,58,54,57,84,82,50,67,58.0,丁
高一,57,83,57,92,54,84,86,83.0,丙
高二,79,89,72,82,79,52,99,79.0,丙
高三,96,50,96,56,95,52,62,62.0,丙
高三,87,89,96,90,62,53,58,87.0,乙
高一,50,85,69,80,69,93,56,69.0,丙
高一,81,86,78,75,64,82,50,78.0,丙
高三,71,89,76,63,85,58,83,76.0,丙
高一,69,51,91,50,86,99,57,69.0,丙
高一,54,54,88,80,79,56,72,72.0,丙
高一,61,53,71,85,51,99,92,71.0,丙
高二,77,61,65,91,56,92,74,74.0,丙
高一,95,75,78,50,86,80,82,80.0,丙
高一,71,88,100,70,54,70,73,71.0,丙
高一,96,81,86,65,51,82,79,81.0,丙
高一,79,56,60,64,80,79,65,65.0,丙
高一,91,95,52,89,52,82,63,82.0,丙
高一,53,71,61,88,92,60,68,68.0,丙
高一,69,55,51,97,93,90,68,69.0,丙
高二,50,81,63,70,57,54,71,63.0,丙
高二,81,58,54,80,58,87,91,80.0,丙
高一,68,62,74,58,60,80,96,68.0,丙
高一,57,52,70,90,63,84,81,70.0,丙
高二,74,81,93,99,56,89,50,81.0,丙
高一,55,95,52,52,53,71,76,55.0,丁
高一,96,92,62,86,56,75,77,77.0,丙
高三,98,97,61,89,61,90,75,89.0,乙
高一,79,59,75,61,95,58,94,75.0,丙
高一,62,85,55,86,85,75,98,85.0,乙
高三,78,87,74,96,97,68,90,87.0,乙
高三,50,71,57,54,53,68,71,57.0,丁
高三,63,56,57,84,96,94,59,63.0,丙
高三,81,61,67,84,60,66,82,67.0,丙
高一,70,63,86,67,71,76,100,71.0,丙
高三,84,74,58,72,60,98,100,74.0,丙
高三,60,67,54,70,69,86,90,69.0,丙
高一,100,84,94,86,52,94,62,86.0,乙
高二,90,80,57,70,64,63,51,64.0,丙
高二,64,66,100,85,55,76,78,76.0,丙
高一,69,98,70,53,95,76,62,70.0,丙
高三,91,88,85,63,60,97,68,85.0,乙
高一,50,88,70,66,57,90,77,70.0,丙
高一,94,98,79,56,91,88,56,88.0,乙
高三,84,62,62,88,72,90,83,83.0,丙
高三,50,73,91,52,70,91,93,73.0,丙
高二,93,88,88,83,83,50,93,88.0,乙
高二,72,71,92,80,64,86,77,77.0,丙
高三,63,68,64,92,68,84,99,68.0,丙
高二,87,73,88,90,70,75,92,87.0,乙
高一,88,71,72,58,97,61,97,72.0,丙
高三,69,96,100,84,50,96,72,84.0,丙
高一,89,50,84,78,94,50,82,82.0,丙
高一,95,95,50,81,85,77,54,81.0,丙
高三,50,61,92,89,78,75,51,75.0,丙
高二,86,72,50,79,72,79,50,72.0,丙
高三,55,97,53,95,60,50,62,60.0,丙
高二,82,65,66,67,68,58,64,66.0,丙
高二,85,58,54,85,63,53,65,63.0,丙
高一,84,84,54,78,51,59,77,77.0,丙
高二,99,50,60,91,62,89,99,89.0,乙
高二,61,97,81,93,86,52,97,86.0,乙
高一,87,60,53,95,68,88,67,68.0,丙
高一,69,51,88,85,73,91,78,78.0,丙
高三,65,62,52,75,67,72,91,67.0,丙
高二,74,67,94,59,68,72,61,68.0,丙
高三,93,89,80,61,68,80,51,80.0,丙
高一,83,90,96,78,62,80,60,80.0,丙
高二,87,60,83,60,51,68,60,60.0,丙
高二,52,86,74,94,52,64,91,74.0,丙
高一,96,55,97,96,52,72,95,95.0,甲
高二,86,64,90,79,75,65,57,75.0,丙
高一,97,76,64,59,56,75,73,73.0,丙
高二,85,74,78,56,78,95,69,78.0,丙
高三,73,56,55,59,78,62,65,62.0,丙
高一,89,65,81,74,52,96,58,74.0,丙
高三,85,100,93,77,60,55,57,77.0,丙
高三,61,59,97,75,60,50,84,61.0,丙
高二,74,92,97,74,100,97,69,92.0,甲
高三,98,91,88,93,57,85,98,91.0,甲
高二,55,88,61,67,57,97,66,66.0,丙
高一,96,87,82,58,88,74,83,83.0,丙
高二,55,69,66,78,81,71,90,71.0,丙
高二,90,94,79,93,86,76,81,86.0,乙
高三,98,80,70,66,70,65,93,70.0,丙
高二,61,77,72,85,73,75,94,75.0,丙
高二,66,89,72,86,83,68,96,83.0,丙
高一,61,85,50,82,54,84,62,62.0,丙
高二,60,81,54,99,85,56,88,81.0,丙
高二,88,52,95,72,61,66,63,66.0,丙
高三,55,55,52,79,77,72,88,72.0,丙
高三,84,82,85,90,64,53,60,82.0,丙
高二,68,81,62,57,71,61,66,66.0,丙
高二,100,81,62,70,86,93,89,86.0,乙
高三,51,81,78,100,89,83,60,81.0,丙
高一,81,98,63,89,78,92,75,81.0,丙
高三,62,78,56,63,51,85,70,63.0,丙
高一,99,90,85,97,85,91,66,90.0,甲
高三,88,72,79,71,100,75,77,77.0,丙
高二,88,98,88,74,86,72,72,86.0,乙
高二,74,99,67,84,66,60,100,74.0,丙
高三,62,80,74,98,85,64,53,74.0,丙
高三,89,70,64,91,84,73,51,73.0,丙
高二,61,91,90,98,57,57,63,63.0,丙
高一,69,57,72,94,97,91,81,81.0,丙
高二,75,59,99,61,86,79,67,75.0,丙
高三,62,86,77,66,61,59,55,62.0,丙
高一,74,93,65,60,68,55,85,68.0,丙
高一,58,61,97,60,78,86,72,72.0,丙
高二,100,98,57,82,68,77,87,82.0,丙
高三,80,70,58,65,79,54,56,65.0,丙
高三,100,99,72,64,74,61,76,74.0,丙
高二,84,98,67,63,55,70,75,70.0,丙
高二,75,65,60,81,56,89,84,75.0,丙
高三,81,70,91,59,57,97,81,81.0,丙
高一,54,74,92,98,65,65,90,74.0,丙
高一,93,58,83,92,53,57,68,68.0,丙
高三,97,90,66,58,81,77,92,81.0,丙
高三,70,94,94,60,65,84,92,84.0,丙
高一,82,91,85,68,76,73,65,76.0,丙
高二,68,81,57,53,91,72,92,72.0,丙
高二,91,84,85,69,50,78,63,78.0,丙
高三,71,54,62,71,63,79,69,69.0,丙
高二,78,98,50,50,95,77,70,77.0,丙
高三,90,58,51,96,87,52,96,87.0,乙
高二,81,61,91,68,78,99,99,81.0,丙
高一,59,92,69,66,83,80,78,78.0,丙
高三,93,65,98,90,94,54,87,90.0,甲
高二,69,50,59,77,64,80,76,69.0,丙
高二,89,91,50,83,96,54,100,89.0,乙
高二,69,60,73,78,81,68,67,69.0,丙
高三,60,97,90,61,81,57,100,81.0,丙
高三,69,60,62,58,86,82,88,69.0,丙
高二,80,77,87,62,55,80,72,77.0,丙
高一,53,97,64,63,82,91,70,70.0,丙
高三,57,69,56,51,86,90,89,69.0,丙
高二,88,65,59,88,68,88,90,88.0,乙
高三,57,63,95,68,69,50,98,68.0,丙
高二,87,84,76,67,60,78,83,78.0,丙
高三,56,82,94,80,52,85,78,80.0,丙
高三,97,58,88,84,97,52,58,84.0,丙
高三,81,90,78,91,88,64,77,81.0,丙
高三,65,88,84,90,96,85,62,85.0,乙
高一,71,73,55,58,71,91,54,71.0,丙
高二,80,99,57,82,73,92,87,82.0,丙
高一,94,86,56,100,82,94,79,86.0,乙
高一,70,78,54,57,70,79,55,70.0,丙
高三,70,65,91,80,67,72,87,72.0,丙
高二,86,96,72,65,71,54,85,72.0,丙
高一,83,56,92,54,79,62,63,63.0,丙
高三,51,98,56,57,84,88,71,71.0,丙
高二,92,56,66,62,66,87,79,66.0,丙
高一,62,61,98,69,94,93,82,82.0,丙
高三,73,56,59,76,53,98,94,73.0,丙
高一,67,62,96,57,85,81,86,81.0,丙
高三,94,97,93,60,92,50,95,93.0,甲
高三,65,100,76,93,71,99,71,76.0,丙
高三,100,57,81,77,95,80,56,80.0,丙
高二,64,55,76,66,52,97,79,66.0,丙
高二,88,51,68,59,70,62,76,68.0,丙
高一,65,82,98,61,61,60,51,61.0,丙
高二,68,67,87,91,95,78,78,78.0,丙
高三,80,72,76,81,67,100,83,80.0,丙
高三,95,69,99,50,57,84,97,84.0,丙
高三,99,60,55,95,87,89,81,87.0,乙
高三,83,75,59,73,65,88,98,75.0,丙
高三,84,68,80,97,53,74,53,74.0,丙
高二,54,66,78,74,84,66,52,66.0,丙
高三,87,78,64,88,66,77,83,78.0,丙
高三,56,78,89,53,70,92,98,78.0,丙
高一,80,85,53,63,82,75,86,80.0,丙
高三,78,66,76,71,51,97,97,76.0,丙
高三,72,90,68,58,68,69,78,69.0,丙
高二,61,74,89,88,89,73,87,87.0,乙
高一,82,67,55,77,50,51,92,67.0,丙
高一,87,83,57,100,93,92,55,87.0,乙
高一,50,69,59,75,55,75,96,69.0,丙
高二,72,61,60,50,61,93,79,61.0,丙
高二,91,78,89,60,93,74,50,78.0,丙
高一,85,87,68,50,75,91,63,75.0,丙
高一,60,63,88,65,94,82,81,81.0,丙
高三,57,59,96,88,62,76,75,75.0,丙
高二,83,83,84,88,61,63,82,83.0,丙
高二,100,97,61,70,73,85,55,73.0,丙
高一,65,70,87,88,98,92,80,87.0,乙
高一,55,77,55,84,64,50,78,64.0,丙
高一,79,53,92,50,74,97,69,74.0,丙
高一,73,94,52,76,87,100,55,76.0,丙
高一,95,89,74,92,80,86,74,86.0,乙
高三,82,91,67,50,81,53,66,67.0,丙
高二,74,63,92,88,73,75,72,74.0,丙
高三,84,65,67,76,94,91,64,76.0,丙
高一,99,50,73,98,92,63,100,92.0,甲
高一,81,82,56,82,96,90,91,82.0,丙
高一,69,80,76,73,73,75,75,75.0,丙
高三,80,95,57,77,69,54,71,71.0,丙
高三,64,58,83,56,98,92,97,83.0,丙
高二,73,56,66,84,67,89,81,73.0,丙
高一,63,74,90,80,79,95,64,79.0,丙
高一,58,65,74,61,93,75,82,74.0,丙
高三,79,63,95,89,74,64,76,76.0,丙
高二,68,92,81,75,62,82,94,81.0,丙
高二,74,56,69,70,87,96,87,74.0,丙
高三,65,52,80,72,67,57,90,67.0,丙
高二,87,67,70,83,56,58,96,70.0,丙
高一,90,62,58,100,73,50,50,62.0,丙
高二,82,51,78,66,57,87,93,78.0,丙
高三,69,58,69,96,74,88,77,74.0,丙
高三,90,56,86,59,100,98,55,86.0,乙
高三,80,83,84,99,82,100,84,84.0,丙
高一,86,98,93,90,64,63,54,86.0,乙
高三,87,68,63,79,69,91,55,69.0,丙
高一,84,95,91,90,80,59,93,90.0,甲
高一,50,97,91,82,94,68,54,82.0,丙
高一,90,92,94,54,61,99,85,90.0,甲
高三,82,78,94,68,63,100,80,80.0,丙
高三,94,85,61,74,90,98,82,85.0,乙
高一,68,100,87,79,95,52,68,79.0,丙
高一,81,71,74,89,89,65,89,81.0,丙
高三,83,86,62,80,62,76,64,76.0,丙
高三,75,88,71,97,95,65,97,88.0,乙
高三,85,82,65,70,60,77,72,72.0,丙
高三,51,80,58,59,100,56,83,59.0,丁
高一,69,90,85,89,91,88,80,88.0,乙
高一,88,58,73,74,61,87,62,73.0,丙
高一,69,51,74,64,93,76,66,69.0,丙
高二,68,94,55,77,75,53,52,68.0,丙
高一,100,61,57,94,61,66,51,61.0,丙
高三,51,67,94,72,91,78,88,78.0,丙
高三,70,89,58,67,55,54,95,67.0,丙
高三,51,50,58,95,96,77,75,75.0,丙
高三,68,79,55,69,61,64,54,64.0,丙
高一,92,51,95,74,86,82,65,82.0,丙
高三,70,90,51,61,82,74,65,70.0,丙
高一,69,72,85,79,73,68,68,72.0,丙
高二,61,80,90,56,68,69,82,69.0,丙
高三,90,94,59,54,57,51,95,59.0,丁
高二,55,87,94,56,100,99,51,87.0,乙
高一,67,80,64,80,67,99,56,67.0,丙
高二,59,75,78,62,88,71,68,71.0,丙
高三,90,64,96,78,74,78,95,78.0,丙
高二,80,64,79,80,66,100,57,79.0,丙
高一,65,93,65,70,85,81,81,81.0,丙
高二,74,76,74,80,90,94,84,80.0,丙
高三,97,87,86,87,94,76,63,87.0,乙
高一,85,74,50,79,75,65,79,75.0,丙
高三,59,60,70,58,81,72,82,70.0,丙
高二,92,92,71,90,58,60,86,86.0,乙
高一,79,84,50,67,76,83,98,79.0,丙
高二,98,69,50,61,70,60,76,69.0,丙
高三,73,76,81,90,95,54,88,81.0,丙
高三,100,73,81,51,100,95,55,81.0,丙
高一,90,59,70,70,52,51,80,70.0,丙
高三,61,52,97,95,78,61,53,61.0,丙
高三,60,86,58,92,88,83,71,83.0,丙
高三,89,94,75,93,55,58,92,89.0,乙
高三,50,98,94,97,76,70,51,76.0,丙
高一,97,96,99,51,57,55,78,78.0,丙
高三,89,59,69,65,70,50,92,69.0,丙
高二,87,56,67,97,86,81,79,81.0,丙
高三,98,70,82,87,52,85,75,82.0,丙
高一,90,52,56,50,54,73,54,54.0,丁
高二,87,70,64,92,99,97,59,87.0,乙
高二,90,87,67,70,75,89,55,75.0,丙
高三,100,61,85,66,68,65,89,68.0,丙
高三,68,88,89,76,67,78,70,76.0,丙
高一,82,68,82,84,80,58,75,80.0,丙
高三,52,90,89,57,98,68,55,68.0,丙
高一,67,95,64,75,50,87,51,67.0,丙
高三,84,98,66,63,52,85,65,66.0,丙
高一,98,74,87,74,88,67,93,87.0,乙
高三,76,80,84,86,76,69,73,76.0,丙
高一,67,84,62,99,73,88,52,73.0,丙
高三,76,97,59,96,90,73,85,85.0,乙
高二,74,95,60,84,64,51,76,74.0,丙
高一,87,52,76,99,84,70,60,76.0,丙
高三,75,62,67,65,76,91,92,75.0,丙
高三,63,94,69,51,50,62,71,63.0,丙
高一,79,90,71,69,81,57,89,79.0,丙
高一,64,59,55,69,98,83,55,64.0,丙
高二,75,67,69,72,65,50,70,69.0,丙
高三,77,61,56,96,51,83,69,69.0,丙
高一,94,52,63,68,58,78,81,68.0,丙
高二,76,73,90,57,73,73,51,73.0,丙
高一,69,75,65,96,91,58,67,69.0,丙
高二,58,93,83,95,73,68,73,73.0,丙
高三,82,80,72,84,58,64,85,80.0,丙
高三,80,97,55,78,72,65,69,72.0,丙
高三,95,97,96,71,83,53,54,83.0,丙
高一,82,61,54,90,56,89,86,82.0,丙
高一,52,96,99,56,97,78,52,78.0,丙
高二,78,87,81,50,89,88,51,81.0,丙
高二,79,58,90,92,81,82,64,81.0,丙
高三,73,59,60,64,97,76,51,64.0,丙
高一,80,54,72,73,100,64,67,72.0,丙
高三,93,77,77,85,71,100,50,77.0,丙
高三,87,73,97,76,79,64,57,76.0,丙
高三,66,78,69,74,50,53,64,66.0,丙
高三,93,67,72,57,91,81,89,81.0,丙
高三,80,90,51,63,87,95,50,80.0,丙
高二,88,64,99,81,85,64,90,85.0,乙
高二,100,62,76,68,80,93,87,80.0,丙
高二,61,90,59,91,96,72,51,72.0,丙
高二,53,91,72,97,66,80,96,80.0,丙
高三,74,83,51,64,79,70,81,74.0,丙
高一,66,77,69,51,51,94,64,66.0,丙
高二,92,78,53,83,66,56,55,66.0,丙
高二,68,73,61,99,53,91,79,73.0,丙
高三,93,53,93,61,67,87,93,87.0,乙
高三,93,62,57,72,74,96,75,74.0,丙
高二,91,58,97,96,86,80,72,86.0,乙
高三,71,62,92,66,53,65,51,65.0,丙
高二,52,59,75,80,72,84,75,75.0,丙
高三,58,64,67,51,82,85,69,67.0,丙
高一,84,90,70,57,88,86,51,84.0,丙
高三,93,67,66,84,82,84,72,82.0,丙
高二,98,82,78,89,76,62,68,78.0,丙
高三,100,86,79,79,68,92,65,79.0,丙
高三,100,88,63,80,76,79,100,80.0,丙
高二,82,97,90,57,54,76,90,82.0,丙
高三,75,84,57,96,87,63,90,84.0,丙
高二,79,69,65,84,96,90,67,79.0,丙
高三,50,84,68,73,76,58,84,73.0,丙
高一,52,76,69,77,51,82,91,76.0,丙
高一,62,78,81,78,63,57,87,78.0,丙
高三,50,92,73,100,88,91,99,91.0,甲
高二,78,70,74,54,99,76,60,74.0,丙
高一,84,65,59,93,72,51,59,65.0,丙
高二,95,76,68,65,56,51,50,65.0,丙
高二,78,92,83,63,95,79,52,79.0,丙
高二,61,52,67,87,63,67,97,67.0,丙
高三,75,64,54,88,96,85,77,77.0,丙
高三,99,89,59,80,89,53,59,80.0,丙
高三,56,54,56,55,89,82,92,56.0,丁
高三,100,98,65,95,55,76,84,84.0,丙
高二,86,68,54,69,84,96,52,69.0,丙
高二,98,56,76,89,64,79,54,76.0,丙
高一,93,78,56,97,93,81,54,81.0,丙
高一,75,71,61,92,76,92,87,76.0,丙
高一,95,60,83,59,87,95,82,83.0,丙
高二,81,57,82,84,71,89,56,81.0,丙
高二,70,75,80,68,95,91,87,80.0,丙
高三,77,55,90,56,84,66,66,66.0,丙
高一,94,67,72,89,72,92,75,75.0,丙
高一,76,74,78,80,57,85,67,76.0,丙
高三,89,87,84,98,85,81,84,85.0,乙
高一,85,61,55,79,53,82,59,61.0,丙
高三,58,76,97,57,87,97,82,82.0,丙
高三,78,100,63,57,80,58,70,70.0,丙
高一,55,56,77,54,74,74,56,56.0,丁
高三,51,50,90,78,97,96,69,78.0,丙
高一,50,67,73,67,78,74,96,73.0,丙
高二,51,63,57,72,57,66,96,63.0,丙
高一,51,88,72,98,97,50,64,72.0,丙
高二,80,51,50,54,96,78,73,73.0,丙
高三,100,56,99,80,99,66,77,80.0,丙
高三,88,65,96,77,95,95,89,89.0,乙
高二,63,64,72,78,61,90,60,64.0,丙
高一,53,72,100,60,92,54,64,64.0,丙
高二,76,99,83,86,50,75,64,76.0,丙
高一,99,95,66,90,83,74,89,89.0,乙
高二,95,79,65,81,77,91,58,79.0,丙
高三,85,56,91,82,71,82,80,82.0,丙
高一,90,60,88,90,67,97,70,88.0,乙
高一,52,58,53,69,95,95,57,58.0,丁
高二,51,93,59,74,60,83,93,74.0,丙
高三,86,55,76,67,65,94,98,76.0,丙
高二,94,58,68,83,83,68,53,68.0,丙
高二,79,68,91,100,66,98,57,79.0,丙
高一,85,84,90,85,55,56,73,84.0,丙
高一,73,66,55,58,95,93,84,73.0,丙
高二,85,54,58,77,94,67,64,67.0,丙
高三,96,82,67,86,81,63,59,81.0,丙
高三,93,89,69,56,98,81,53,81.0,丙
高一,57,57,56,97,53,79,72,57.0,丁
高一,64,53,84,83,81,50,78,78.0,丙
高二,72,54,72,62,53,85,83,72.0,丙
高一,78,66,82,88,89,98,59,82.0,丙
高二,100,52,77,65,58,61,59,61.0,丙
高三,63,69,69,64,94,52,64,64.0,丙
高一,62,70,58,100,58,94,83,70.0,丙
高一,55,56,50,72,54,57,87,56.0,丁
高三,62,52,74,68,78,64,73,68.0,丙
高三,68,67,82,95,96,67,72,72.0,丙
高三,89,92,86,65,53,67,62,67.0,丙
高二,67,99,97,56,55,98,50,67.0,丙
高三,93,98,57,95,51,74,93,93.0,甲
高二,55,63,99,55,89,66,74,66.0,丙
高一,100,100,64,95,51,74,69,74.0,丙
高二,72,54,85,51,93,68,92,72.0,丙
高三,55,89,60,83,88,95,55,83.0,丙
高三,80,50,77,51,76,80,62,76.0,丙
高一,54,83,56,69,54,72,90,69.0,丙
高三,78,85,98,75,82,59,52,78.0,丙
高一,91,100,97,61,54,65,91,91.0,甲
高三,88,50,58,74,80,55,72,72.0,丙
高一,86,59,77,95,83,80,100,83.0,丙
高一,83,89,64,54,83,70,92,83.0,丙
高一,80,80,65,80,100,83,96,80.0,丙
高二,70,57,63,62,91,98,94,70.0,丙
高三,68,92,91,93,97,99,80,92.0,甲
高二,88,54,79,66,55,80,78,78.0,丙
高二,83,58,73,92,88,59,65,73.0,丙
高一,66,74,95,94,77,64,86,77.0,丙
高二,62,99,65,92,63,52,52,63.0,丙
高二,72,82,94,50,53,52,62,62.0,丙
高三,57,89,73,52,67,51,81,67.0,丙
高三,76,94,78,67,81,81,97,81.0,丙
高二,63,76,76,68,81,87,81,76.0,丙
高一,80,50,68,51,87,65,77,68.0,丙
高一,50,61,75,55,80,81,98,75.0,丙
高一,78,86,75,92,88,91,50,86.0,乙
高三,60,65,90,81,67,68,51,67.0,丙
高一,66,72,98,57,60,87,96,72.0,丙
高三,68,98,54,77,81,62,100,77.0,丙
高二,63,84,92,86,66,87,93,86.0,乙
高三,98,55,52,92,64,64,64,64.0,丙
高二,81,59,98,50,57,69,97,69.0,丙
高三,91,71,90,54,77,60,90,77.0,丙
高三,54,82,93,77,97,76,81,81.0,丙
高三,85,53,81,70,94,75,55,75.0,丙
高三,91,98,65,97,68,75,61,75.0,丙
高一,68,62,66,81,81,51,74,68.0,丙
高一,100,75,84,67,53,83,74,75.0,丙
高三,98,73,84,65,93,66,85,84.0,丙
高一,96,64,54,72,94,57,66,66.0,丙
高三,87,98,72,85,79,65,58,79.0,丙
高三,94,67,57,62,95,51,81,67.0,丙
高二,94,87,86,55,52,86,84,86.0,乙
高一,80,88,66,63,58,95,50,66.0,丙
高三,73,51,94,86,94,87,58,86.0,乙
高三,65,66,95,56,94,92,60,66.0,丙
高一,57,93,77,71,76,97,77,77.0,丙
高一,61,70,86,96,71,53,54,70.0,丙
高一,73,96,92,69,74,60,71,73.0,丙
高三,74,75,78,63,53,53,100,74.0,丙
高三,57,77,84,94,55,94,89,84.0,丙
高一,64,99,53,54,69,72,66,66.0,丙
高二,65,89,51,66,80,61,83,66.0,丙
高三,74,91,52,50,85,88,94,85.0,乙
高一,58,95,99,83,66,93,80,83.0,丙
高二,57,73,87,66,92,67,95,73.0,丙
高三,62,61,82,58,68,75,57,62.0,丙
高二,82,54,92,71,79,75,66,75.0,丙
高三,74,88,59,56,84,53,65,65.0,丙
高三,80,96,74,93,67,60,53,74.0,丙
高三,67,85,51,99,63,89,55,67.0,丙
高二,52,62,62,100,93,74,88,74.0,丙
高一,56,58,85,78,79,98,64,78.0,丙
高三,70,71,60,94,60,58,72,70.0,丙
高一,81,93,89,96,95,91,65,91.0,甲
高三,90,69,82,65,83,61,75,75.0,丙
高一,80,87,81,83,96,57,88,83.0,丙
高三,96,92,90,80,64,80,56,80.0,丙
高二,71,94,58,68,60,80,77,71.0,丙
高二,81,62,89,66,83,93,92,83.0,丙
高二,71,65,86,90,97,57,53,71.0,丙
高三,54,55,96,99,58,68,61,61.0,丙
高一,73,59,77,99,84,92,68,77.0,丙
高三,97,87,98,76,72,81,89,87.0,乙
高二,54,83,55,54,60,69,58,58.0,丁
高二,71,64,83,100,59,88,54,71.0,丙
高三,76,74,71,65,73,59,60,71.0,丙
高二,81,51,100,58,70,79,52,70.0,丙
高二,75,86,61,93,62,54,94,75.0,丙
高三,60,96,92,58,89,89,59,89.0,乙
高三,88,79,99,98,68,73,60,79.0,丙
高一,92,83,98,51,58,84,75,83.0,丙
高三,69,86,85,86,74,92,63,85.0,乙
高一,50,62,64,91,83,92,83,83.0,丙
高二,89,86,84,79,55,71,100,84.0,丙
高二,95,63,63,97,61,78,52,63.0,丙
高三,69,79,83,54,86,95,97,83.0,丙
高二,59,72,100,55,74,70,93,72.0,丙
高三,85,97,84,85,64,89,88,85.0,乙
高三,92,100,90,64,94,74,55,90.0,甲
高二,50,88,88,74,71,98,71,74.0,丙
高三,100,69,83,83,54,75,66,75.0,丙
高三,59,60,51,90,55,60,59,59.0,丁
高二,52,95,56,91,88,61,74,74.0,丙
高一,94,58,93,51,64,60,68,64.0,丙
高二,89,63,86,74,99,92,71,86.0,乙
高一,80,78,80,86,68,72,92,80.0,丙
高三,66,77,73,86,79,87,56,77.0,丙
高二,72,99,74,65,51,87,66,72.0,丙
高一,50,90,96,89,79,87,50,87.0,乙
高二,69,93,100,50,84,73,91,84.0,丙
高三,57,94,59,95,68,66,85,68.0,丙
高三,56,63,80,56,67,98,68,67.0,丙
高二,79,90,50,71,59,98,84,79.0,丙
高三,69,79,53,91,94,80,59,79.0,丙
高三,64,65,85,72,62,69,88,69.0,丙
高二,66,72,67,71,76,62,78,71.0,丙
高三,56,99,53,98,52,79,90,79.0,丙
高一,82,79,72,56,84,66,58,72.0,丙
高三,62,83,68,62,76,71,55,68.0,丙
高一,82,97,90,100,82,57,58,82.0,丙
高二,94,89,54,60,60,73,77,73.0,丙
高一,69,58,67,55,94,60,85,67.0,丙
高二,79,88,86,93,72,83,51,83.0,丙
高二,60,98,54,84,51,91,69,69.0,丙
高一,93,98,70,52,82,63,58,70.0,丙
